word,frequency
his,4
pamban,4
was,4
marakayar,3
tamil,3
family,3
island,3
had,2
traders,2
sri,2
lanka,2
local,2
boat,2
father,2
nadu,2
indian,2
between,2
rameswaram,2
muslim,2
jainulabdeen,2
mainland,2
kalam,2
women,1
transporting,1
11,1
ancestors,1
involved,1
been,1
wealthy,1
connecting,1
landowners,1
numerous,1
properties,1
large,1
tracts,1
land,1
ethnic,1
group,1
found,1
coastal,1
trading,1
bridge,1
opening,1
who,1
claim,1
business,1
passengers,1
goods,1
9,1
descent,1
arab,1
10,1
avul,1
sister,1
madras,1
owner,1
3,1
2,1
state,1
now,1
presidency,1
centre,1
mosque,1
pilgrimage,1
1931,1
october,1
15,1
born,1
abdul,1
imam,1
4,1
brothers,1
pilgrims,1
four,1
youngest,1
8,1
7,1
dhanushkodi,1
pakir,1
hindu,1
mother,1
ferried,1
owned,1
6,1
5,1
housewife,1
ashiamma,1
india,1
